Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,SPRING,Location
1864,-6.16,-1.61,4.03,6.32,11.73,13.72,16.44,14.91,12.05,6.45,2.27,-3.58,6.38,7.36,liestal
1865,-0.16,-2.76,-1.65,11.24,14.45,15.28,18.08,14.99,14.88,8.81,4.14,-2.06,7.94,8.02,liestal
1866,1.54,3.29,3.04,8.37,9.24,16.49,16.36,14.01,13.43,8.15,3.05,1.6,8.22,6.89,liestal
1867,-1.27,4.24,3.28,7.7,11.96,14.77,15.4,16.78,13.72,6.13,1.03,-2.66,7.59,7.65,liestal
1868,-2.92,1.59,1.97,6.53,16.49,16.3,17.22,16.58,14.79,8.17,0.51,4.77,8.5,8.33,liestal
1869,-1.66,4.21,-0.1,8.93,13.1,12.58,18.72,14.81,13.63,5.67,3.26,-1.64,7.62,7.31,liestal
1870,-2.25,-2.53,1.27,7.25,13.14,16,18.79,14.11,11.38,7.68,2.78,-4.43,6.93,7.22,liestal
1871,-5.38,0.54,3.48,7.9,10.89,11.71,17.29,16.55,14.75,6.07,-0.28,-7.02,6.38,7.42,liestal
1872,-0.35,0.46,4.49,8,10.58,14.38,17.54,14.83,13.67,8.66,5.39,2.24,8.33,7.69,liestal
1873,0.46,-0.55,5.45,5.94,9.51,15.05,18.63,17.62,12.18,8.58,3.39,-1.49,7.9,6.97,liestal
1874,-0.92,-0.72,2.86,9.01,8.4,15.5,19.09,14.74,14.3,8.21,0.56,-2.6,7.37,6.76,liestal
1875,1,-3.48,1.58,7.32,13.72,15.78,15.43,17.41,14.16,7.01,2.7,-3.28,7.45,7.54,liestal
1876,-2.99,1.17,3.41,7.21,8.62,14.74,17.75,17.15,11.67,10.19,1.92,3.03,7.82,6.42,liestal
1877,1.9,2.51,1.94,6.8,9.25,17.62,16.11,17.25,10.75,5.86,4.77,0.12,7.91,5.99,liestal
1878,-2.84,0.3,2.14,7.3,12.69,14.46,15.98,16.01,12.87,8.69,1.49,-3.17,7.16,7.38,liestal
1879,-1.65,1.06,3.6,5.3,7.74,15.15,14.02,17.56,12.83,6.47,-0.21,-8.44,6.12,5.55,liestal
1880,-5.39,0.3,5.67,7.82,10.34,13.34,17.6,15.21,13.27,8.4,3.97,4.04,7.88,7.95,liestal
1881,-4.05,1.32,4.71,6.51,10.63,14.36,19.4,16.53,11.13,4.53,4.66,-0.55,7.43,7.28,liestal
1882,-1.32,-0.03,5.29,7.12,11.77,13.71,14.82,14.33,11.05,8.65,4.06,0.8,7.52,8.06,liestal
1883,0.05,2.27,-0.34,6.42,11.78,14.11,15.05,15.36,11.97,6.87,3.66,-0.82,7.2,5.96,liestal
1884,1.22,1.83,4.77,6.39,12.71,11.99,17.4,16.53,12.81,7.04,1.24,0.26,7.85,7.96,liestal
1885,-4.13,3.09,2.91,8.14,9.11,16.43,17.76,15.68,11.85,6.28,3.63,-0.77,7.5,6.72,liestal
1886,-2.2,-2.8,1.82,8.5,11.75,13.13,17.04,15.98,14.74,8.93,3.75,0.06,7.56,7.36,liestal
1887,-4.18,-2.51,0.35,6.69,8.81,16.13,18.57,15.81,11.39,4.01,1.97,-1.85,6.26,5.28,liestal
1888,-3.26,-2.15,1.73,5.04,12.62,15.11,14.23,14.53,12.87,4.94,3.72,-0.87,6.54,6.46,liestal
