year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,SPRING,Location
1871,0.33,2.17,8.89,14.56,17.72,22.89,23.33,24.89,16.83,14.5,5.72,0.06,12.67,13.72,washingtondc
1872,-0.17,0.94,1.89,13.33,19.67,24.11,27.28,26.11,20.56,13.06,5.83,-0.56,12.67,11.61,washingtondc
1873,0.11,1.56,5.44,11.72,17.56,23.94,26.56,23.78,20,12.72,4.89,4.72,12.67,11.56,washingtondc
1874,4.11,2.89,6.94,8.39,17.67,25.28,26.06,22.61,21.17,13.28,7,4,13.33,11,washingtondc
1875,-1.94,-1.78,3.94,8.89,17.56,22.72,25,22.17,18.11,12,5,2.67,11.22,10.11,washingtondc
1876,4.67,2.61,4.11,10.78,18.06,24.33,26.89,24.17,18.44,10.39,7.33,-2.72,12.39,11,washingtondc
1877,-1.44,4.11,5,11.61,16.61,23.28,25.44,24.61,19.39,14.78,7.89,5.44,13.06,11.06,washingtondc
1878,0.83,4.33,9.67,14.61,16.94,20.61,26.78,23.89,20.5,13.89,7.44,0.72,13.33,13.72,washingtondc
1879,-0.67,0.11,6.56,11.56,18.72,22.94,26.11,24.06,18.44,17.22,8.17,5.5,13.22,12.28,washingtondc
1880,5.5,4.89,5.44,13.06,21.39,23.5,24.83,23.83,19.94,12.72,4.56,-1.67,13.11,13.28,washingtondc
1881,-2.44,0.44,4.5,10.17,19.44,21.5,25.22,24.72,25.67,17.17,8.61,5.39,13.33,11.39,washingtondc
1882,0.67,4.67,6.72,10.44,15.11,23.22,24.44,23.28,20.61,16.06,6.06,1.17,12.72,10.78,washingtondc
1883,-1.33,3.06,3.11,10.5,17.56,23.56,24.89,22.28,18.39,13.83,8.44,2.72,12.22,10.39,washingtondc
1884,-1.44,4.94,5.67,10.5,18,22.5,23.44,23.44,22.06,15.33,7.06,2.22,12.83,11.39,washingtondc
1885,0.5,-2.83,1.39,11.72,16.83,21.72,25.44,23,18.94,12.61,7.39,3.06,11.67,10,washingtondc
1886,-1.72,0.06,5.56,13.06,16.72,21.06,23.28,22.83,20.72,14.22,7.83,-0.72,11.89,11.78,washingtondc
1887,0.5,3.83,3.61,10.89,19.94,22.28,26.94,22.89,18.33,13,5.5,2.89,12.67,11.5,washingtondc
1888,-1,2.06,3,11.61,17.06,22.78,23.11,24.33,18.22,11.44,8.56,3.06,12,10.56,washingtondc
1889,4,-0.5,6.33,12.44,18.11,21.56,24.33,22.44,18.67,11.39,7.89,7.56,12.83,12.28,washingtondc
1890,6.56,6.33,5.22,12,17.67,23.78,23.89,23.11,19.89,13.56,8.89,1.22,13.5,11.61,washingtondc
1891,3,5.22,3.67,13,16.33,22,22.22,23.61,21.28,12.44,6.67,6.22,13,11,washingtondc
1892,-0.22,2.78,3.17,10.78,17.67,24.56,24.33,24.56,18.94,13,6.5,0.67,12.22,10.56,washingtondc
1893,-4.11,1.72,5.06,12.11,16.44,22.5,25,23.67,18.89,13.61,6.44,3.5,12.06,11.22,washingtondc
1894,3.22,1.78,9.17,11.78,18.83,23.11,25.5,23.33,21.89,14.39,6.67,3,13.56,13.28,washingtondc
1895,-0.22,-3.22,5.44,12.11,17,23.67,22.67,25.11,22.44,11.17,8,3.78,12.33,11.5,washingtondc
1896,0.72,2.61,3.61,13.67,20.44,21.83,24.83,24.33,19.89,12.22,10.33,2,13.06,12.56,washingtondc
1897,-0.56,2.56,7.78,11.61,16.89,20.89,24.94,23,20.11,14.44,7.78,3.39,12.72,12.11,washingtondc
1898,2.56,1.67,9.33,10.5,18,23.06,26,24.94,21.67,14.33,6.67,2,13.39,12.61,washingtondc
1899,0.78,-2.56,5.67,12.22,18,23.5,24.78,23.78,18.78,14.72,7.39,2.33,12.44,11.94,washingtondc
1900,1.78,0.94,3.78,12.33,18,22.33,25.94,26.44,23.11,16.44,9.56,2.5,13.61,11.39,washingtondc
1901,1.61,-1.22,7.22,10.33,16.94,22.44,26.56,24.44,19.67,13.11,4.78,1.56,12.28,11.5,washingtondc
1902,-0.11,-1.22,8.17,11.61,18.56,22.11,25,22.56,19.33,14.22,10.72,1.33,12.67,12.78,washingtondc
1903,0.78,3,10,12.22,18,19.44,24.44,22.11,19.56,13.78,5.33,0.11,12.39,13.39,washingtondc
1904,-2.5,-2,5.67,9.83,18.33,21.67,23.56,22.39,19.67,12.28,6.17,-0.61,11.22,11.28,washingtondc
1905,-1.22,-3.11,7.22,12.22,18.44,22.11,24.67,23.11,20.11,13.83,6.89,3.06,12.28,12.61,washingtondc
1906,4.44,1.11,3.11,13.06,18,22.67,24,24.67,22.72,13.83,8.78,2.78,13.28,11.39,washingtondc
1907,2.89,-1,9.33,9.11,15.11,18.83,24.33,22.44,20.78,11.11,6.94,3.39,11.94,11.17,washingtondc
1908,1.22,-0.67,8.56,13.56,18.5,22.11,25.56,22.89,19.22,14.56,7.78,2.78,13,13.56,washingtondc
