year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,SPRING
1881,0.5,2.5,4.7,11.7,17.1,22.2,25.6,27.5,23.4,15.3,10.4,3.8,13.7,11.16666667
1882,4.3,4.4,5.5,13,16.5,20.4,25.1,25.5,21.6,16.6,9.3,2.9,13.8,11.66666667
1883,2.3,3.1,5.6,11.6,16.1,21.1,25.9,26.8,22.7,17.4,9,3.5,13.8,11.1
1884,1.9,1.6,5.6,11.7,16.7,21,25.1,25.1,23,14.7,7.1,2.6,13,11.33333333
1885,0.8,1.2,3.8,12.5,15.9,21.5,24.6,26.5,23.4,16.8,9.8,5.1,13.5,10.73333333
1886,1.4,1,7,12.4,16.9,21.4,26,27.3,23,17.1,10.2,3.9,14,12.1
1887,3.5,2.9,5.3,12.1,15.5,20.7,25,26.3,21.5,17.3,9.7,4.6,13.7,10.96666667
1888,2.9,1.7,7.5,13.1,17.2,19.6,26,26.8,21.3,14.8,11.7,5.3,14,12.6
1889,2.1,2.6,6.6,12.5,15.6,21.9,24.7,26.2,20.3,14.9,9.1,4.9,13.5,11.56666667
1890,3.3,6.6,8.6,14.2,17.3,22,25,26.5,24,16.1,10.5,9,15.3,13.36666667
1891,2,3.8,7.8,12.1,17.6,20.6,25.1,25.6,24.4,15.7,10.1,4.9,14.1,12.5
1892,2.3,2.8,4.7,12.4,16.4,21.3,26.4,26.2,23.2,15.1,8.7,2,13.5,11.16666667
1893,1.9,0.8,5,12,15.8,19.8,26,26.4,23.5,16.1,8.1,3,13.2,10.93333333
1894,1.9,2.5,7.5,13.3,16.1,23.4,26.9,27.2,22.2,14.9,10.7,4.1,14.2,12.3
1895,1.4,2.3,6.8,12.4,17.2,20.5,23.4,26.7,22.5,15.9,8.8,4.2,13.5,12.13333333
1896,2.5,2.9,4.6,13.4,16.4,22.1,24.3,25.7,21.3,15.2,9.3,4,13.5,11.46666667
1897,3.6,2.9,6.2,11.1,16.5,19.5,24.8,26.7,21.6,13.9,10,2.7,13.3,11.26666667
1898,3.2,3.9,5.4,10.5,16.5,21.1,25.9,26.7,22.1,15.6,11.3,5.5,14,10.8
1899,2.3,4,7.1,12,18,22.3,24.9,25.6,20.1,12.6,7,5,13.4,12.36666667
1900,1.5,2.6,5.2,12.3,17.5,20.4,23.8,26.6,22.6,15.4,10.3,4.3,13.5,11.66666667
1901,4.2,1.6,5.2,13.2,15.9,20.8,23.7,25.8,21.8,17.1,8.8,3.3,13.5,11.43333333
1902,1.7,2.4,7.8,10.7,16.5,20,23.1,24.4,21.9,15.1,10.7,6.6,13.4,11.66666667
1903,3.8,3.5,8.5,13.2,15.2,19.8,23.2,26.2,23.8,15.7,8.3,3.3,13.7,12.3
1904,1.5,4,6.3,13.4,16.1,21.7,25.8,26.5,20.9,15.3,7.4,5,13.7,11.93333333
1905,4.3,2.3,6.4,11.1,16.8,21.6,25.6,24.3,22,15.7,9.7,6.8,13.9,11.43333333
1906,1.6,3.3,6.6,11.5,16.5,19.9,24.9,25.7,20.7,15.2,8.3,4.5,13.2,11.53333333
1907,3.8,1.2,5.4,12,16.2,19.9,24.7,26.1,21.5,15.2,10.7,3.2,13.3,11.2
1908,3.2,2.4,6.2,11.9,16,20.9,23.8,25.5,20.3,15.7,7.9,4.6,13.2,11.36666667
1909,2.5,2,5.6,12.5,16.5,20.7,25.2,26.3,22.6,13.9,9.2,3.6,13.4,11.53333333
1910,4.4,2,4.7,11.4,16.9,21.5,25.3,25,21.7,15.4,9.3,3,13.4,11
1911,2.8,3.6,7.7,11.8,16.3,21.2,25.2,25.9,23.4,14.9,11.1,4.2,14,11.93333333
1912,2.3,5.9,7,12.5,16.8,20.8,24.5,26.3,21.1,15.4,8.8,4.4,13.8,12.1
1913,1.8,3.3,4.6,13.8,15.9,20.7,24.3,25.2,19.8,15.5,9.2,4.8,13.2,11.43333333
1914,3.5,4.1,9,11.1,17.7,21.5,27.1,27.2,23.5,15.6,11.8,5.1,14.8,12.6
1915,3.2,4.2,5.6,12.5,16.5,22.7,25.6,26.3,23.6,18.2,11.6,5.3,14.6,11.53333333
1916,4.8,4.5,4.9,12.5,17.6,23.5,25.4,26.7,23.9,16.7,12.5,6.2,14.9,11.66666667
1917,1.4,2.7,6.1,12.1,15.2,20.8,26.9,25.4,23.2,17,7.4,2.9,13.4,11.13333333
1918,1,3.1,6.5,12.2,15.9,20.6,26.5,25.6,21.7,16.3,9.6,4.4,13.6,11.53333333
1919,2.9,4,7.5,12.7,17,21.2,24.8,25.6,21.7,16.1,11.3,4.8,14.1,12.4
1920,3.3,3.1,7.2,12.2,16.4,21.7,26.6,25.9,22.3,15.9,11.2,5.6,14.3,11.93333333
1921,3.6,3.2,5.3,13.2,16.8,19.5,25.1,26.6,21.7,15.6,7.7,4.9,13.6,11.76666667
1922,1.3,6.5,5.8,12.8,17.6,22.1,25.8,27.6,23.9,16.1,10.4,3.7,14.5,12.06666667
1923,1.5,3.7,8.1,12.2,17.9,20.7,24.8,27.7,23,16.3,10.7,5.9,14.4,12.73333333
1924,2.7,3.7,4,13.8,16.2,20.7,27.4,27,21.6,15.7,8.2,4.3,13.8,11.33333333
1925,2.4,2.2,5.3,10.7,16.9,21.1,24.6,25.9,23,15.7,10.8,5.6,13.7,10.96666667
1926,2.2,3.8,5.4,10.5,16.6,19.9,24.5,27,23.3,14.5,8.8,3.7,13.4,10.83333333
1927,2.7,2,6.1,12.4,16.1,21.2,26.6,26,21.3,16.1,10.9,5.8,13.9,11.53333333
1928,3.6,2.9,6.4,12.5,18.5,20.9,25.6,25.3,24,16.4,11.1,4.8,14.3,12.46666667
1929,1.7,2.2,5.9,12.1,16.4,22,26.5,27.1,21.4,16.5,10.3,8.4,14.2,11.46666667
1930,2.7,4.8,8.3,13.9,17.7,21.9,27.1,27.5,21.5,16.1,8.9,5.3,14.6,13.3
1931,3.4,3.4,6.8,11.6,16.4,21.6,23.3,27.2,23.2,15.5,11.5,5.7,14.1,11.6
1932,4.6,3,5.8,11,17.8,21.3,26.5,26.7,22,14.9,10.1,5.7,14.1,11.53333333
1933,2.7,2.7,5.2,12.7,18.7,22.9,27.3,26.8,22.4,15.8,10.6,5.5,14.4,12.2
1934,1.1,2.5,5.5,11.4,17.8,21.9,26.6,26.8,22.4,15,9.2,5.8,13.8,11.56666667
1935,3.2,4.4,6.8,12.2,17.4,21.4,25.8,25.8,21.7,16.5,10.7,5.1,14.3,12.13333333
1936,0.9,1.4,4.5,11.6,16.7,22.4,25.1,26.4,23.9,16.1,10.2,6.9,13.8,10.93333333
1937,4,6.1,7.3,12.5,17.3,20.5,26.5,27.7,22.3,16.5,11.2,4.5,14.7,12.36666667
1938,2.2,2.4,9,12.5,18.5,21.8,25.9,26.4,22.4,17.6,9.1,5.1,14.4,13.33333333
1939,2,3.4,6.8,12.7,17.5,21.8,27.4,26.8,23.5,17.5,12,4.8,14.7,12.33333333
1940,2.3,2.6,6.3,12.2,17.4,21.5,27,25.3,23.1,17.5,12.3,6.6,14.5,11.96666667
1941,4.6,4.1,7.7,11.8,17.8,21.9,25.1,26.2,21.3,16.1,12.1,6.6,14.6,12.43333333
1942,3,3.1,9.9,12.1,16.7,21.8,28.4,27.5,23.7,15.5,9,4.4,14.6,12.9
1943,1.8,2.7,6.1,10.9,17.5,22.2,25.7,26.8,24.3,16.5,10.1,5.3,14.2,11.5
1944,2.9,2.5,5.7,11,18.8,22.4,26.5,27,22.7,16.3,10.9,4.1,14.2,11.83333333
1945,0.9,1.2,6.6,12.9,15.5,21.7,23.5,27.5,22.8,17,10.2,4.2,13.7,11.66666667
1946,3.4,3.4,6.1,13.3,16.7,22.5,27.1,26.9,22.4,17.2,12.9,4.8,14.7,12.03333333
1947,3.8,1.4,5.4,12,16.4,20.4,26.4,27.6,23.1,14.9,8.7,3.8,13.7,11.26666667
1948,3.5,4.1,6.4,13.5,17.9,22,26.2,26.4,22.8,17.4,11.3,8.5,15,12.6
1949,4.6,5.8,5.5,10.4,18.1,21.2,25.1,26.7,22.9,15.4,10.5,6.4,14.4,11.33333333
1950,5.2,4.4,6.8,13.8,19.1,21.7,26.6,27.1,23.1,16,11.2,5,15,13.23333333
1951,3.5,4.8,7.4,12.5,18,21,25.2,28,21,18.1,10.8,7.2,14.8,12.63333333
1952,4.1,3.3,6.8,13.3,17.7,21.6,25.2,27.5,23.1,16.5,12.6,5.9,14.8,12.6
1953,2.9,4,8.6,11.6,17.8,22.1,25.7,27.2,23,17.4,10.2,7.1,14.8,12.66666667
1954,5.1,5.3,7.6,14.5,18,20,24.1,27.7,24.1,15.7,12.1,6.6,15.1,13.36666667
1955,3.2,5.6,9,14.1,18.2,23.3,27.7,27,23.3,17.2,9.6,6.8,15.4,13.76666667
1956,3.6,3.4,8.3,12.8,17.3,22.4,26.2,25.9,23.4,17.3,10.3,4.3,14.6,12.8
1957,4.3,3.6,5.2,14.1,16.7,21.2,25.2,27.3,20.9,16.5,12.1,7,14.5,12
1958,4,5.3,7.5,13.9,17.9,22.4,26.6,26.8,23.4,16.3,10.7,7.1,15.2,13.1
1959,3.4,7.5,9,14,18.4,21.8,26.7,27.3,24.3,17.5,12,6.7,15.7,13.8
1960,3.9,5.4,8.9,12.3,18,21.8,26.8,27.5,23.4,16.8,11.9,5.8,15.2,13.06666667
1961,2.6,3.3,8,14.1,19,22,27.4,28,25.7,19.3,12.3,6.6,15.7,13.7
1962,3.2,4.8,7.3,13.1,18.1,21,26.4,27.6,23.9,16.8,11,6.6,15,12.83333333
1963,1.1,2.3,7,14.2,19,23.5,27.1,26.7,21.5,16.2,11.2,6.7,14.7,13.4
1964,5.5,3.2,6.6,17.2,19.3,21.6,27.2,28.7,23.9,16.6,10.3,6.2,15.5,14.36666667
1965,3.3,3.8,5.5,10.7,17.9,22,25.8,27.7,21.7,15.9,11.8,5.8,14.3,11.36666667
1966,3.4,5.7,8.5,13.5,17.4,21.4,25.8,27.9,23.2,17.2,10.7,4.7,15,13.13333333
